id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_per_room
43605780,https://www.airbnb.com/rooms/43605780,20241204171216,1733270400000,city scrape,Cozy Comfy Beautiful 2 Beds 1 Bath in SF Sunset,"Beautiful Convenient 2 Beds 1 Baths For You to Stay!<br />Welcome to our comfortable 2-bedroom home! Ideal for tourists, business travelers, or students, it offers a relaxing atmosphere for you and your family.<br /><br />Our safe and convenient location features many restaurants and grocery stores within walking distance, along with easy parking and public transportation to downtown. Enjoy the beach or unwind in our lovely backyard with a cup of coffee. We’re confident you’ll have a great stay with us!!","The Sunset District is the largest neighborhood within the city and county of San Francisco, and with a population of over 85,000. It is also the most populous. Golden Gate Park forms the neighborhood's northern border, and the Pacific Ocean (or, more specifically, the long, flat strand of beach known as Ocean Beach) forms its western border. A section of the Sunset District towards its southeastern end is known as the Parkside neighborhood. Prior to the residential and commercial development of the Sunset District, much of the area was covered by sand dunes and was originally referred to by 19th century San Franciscans as the ""Outside Lands.""",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDM2MDU3ODA%3D/original/c5fc010c-2b2a-47e7-ac1a-2ed7ca130fac.jpeg,347363658,https://www.airbnb.com/users/show/347363658,May,1590278400000,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/dd353d45-73a4-47f2-8f6b-17c51dca47d0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dd353d45-73a4-47f2-8f6b-17c51dca47d0.jpg?aki_policy=profile_x_medium,Outer Sunset,1,1,['phone'],t,t,Neighborhood highlights,Outer Sunset,,37.7513,-122.49381,Private room in home,Private room,4,1,1 private bath,2,2,"[""Wifi"", ""Shampoo"", ""Beach view"", ""Coffee"", ""Bed linens"", ""Window guards"", ""Smoke alarm"", ""Wine glasses"", ""Central heating"", ""First aid kit"", ""Free driveway parking on premises"", ""Iron"", ""Hot water"", ""Laundromat nearby"", ""Kitchenette"", ""Freezer"", ""Cleaning available during stay"", ""Portable heater"", ""Mini fridge"", ""Books and reading material"", ""Microwave"", ""Cleaning products"", ""Hangers"", ""Extra pillows and blankets"", ""Toaster"", ""Outdoor dining area"", ""Clothing storage: closet"", ""Table corner guards"", ""Shared backyard \u2013 Fully fenced"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Outdoor furniture"", ""Shared beach access"", ""Single level home"", ""Conditioner"", ""Private entrance"", ""Body soap"", ""Safe"", ""Shower gel"", ""Dishes and silverware"", ""Free street parking"", ""Hair dryer"", ""Fire extinguisher"", ""Private living room"", ""TV with standard cable"", ""Coffee maker: pour-over coffee"", ""Ethernet connection"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Essentials""]",$100.00,1,30,1,1,1125,1125,1,1125,,t,13,39,63,147,1733270400000,179,52,5,1628380800000,1732924800000,4.76,4.78,4.79,4.88,4.83,4.87,4.73,STR-0004670,t,1,0,1,0,4.42,50.00
873342131916467700,https://www.airbnb.com/rooms/873342131916467714,20241204171216,1733270400000,city scrape,Tastefully furnished 2bed/1bath,Have fun with the whole family at this newly renovated apartment. Apartment has stainless steel appliances. Comes with 1 parking spot.,,https://a0.muscache.com/pictures/miso/Hosting-873342131916467714/original/7a416f4c-b296-4c51-999d-e9deff9c5787.jpeg,141228523,https://www.airbnb.com/users/show/141228523,Candy,1500336000000,,,within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/27a2f44e-a117-49b1-a765-e9eed460eb55.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/27a2f44e-a117-49b1-a765-e9eed460eb55.jpg?aki_policy=profile_x_medium,Ingleside,4,5,['phone'],t,t,,Ocean View,,37.7194221,-122.4589093,Entire rental unit,Entire home/apt,4,1,1 bath,2,2,"[""Wifi"", ""Free parking on premises"", ""TV"", ""Smoke alarm"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",$100.00,30,365,30,30,365,365,30,365,,t,28,58,88,178,1733270400000,1,0,0,1686960000000,1686960000000,5,5,5,5,5,5,5,,f,1,1,0,0,0.06,50.00
46986918,https://www.airbnb.com/rooms/46986918,20241204171216,1733270400000,city scrape,House like apartment with private entrance,"The apartment is about 650sqt. Newly remodeled bathroom. Close to everything. Transportations, downtown, China town and north beech.<br /><br />Many coffee shops and restaurants. Big Four hotels and Grace Cathedral are a few blocks away. <br /><br />Pets allowed, please send me a message before booking.  $200/monthly fee per pet","Chinatown, little Italy, Downtown, Union Square, Fairmont Hotel, Grace Cathedral. Very safe aera",https://a0.muscache.com/pictures/hosting/Hosting-46986918/original/bca33b6c-6b7c-4a73-a7d9-e677e9db4e96.jpeg,694377,https://www.airbnb.com/users/show/694377,Beatrice,1307836800000,"San Francisco, CA",I live in San Francisco,within an hour,88%,99%,f,https://a0.muscache.com/im/pictures/user/97ee26cb-577b-4c0f-9098-0374f7405d06.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/97ee26cb-577b-4c0f-9098-0374f7405d06.jpg?aki_policy=profile_x_medium,Pacific Heights,19,25,"['email', 'phone']",t,t,Neighborhood highlights,Russian Hill,,37.79789,-122.41321,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,2,3,"[""Wifi"", ""Heating"", ""Paid dryer \u2013 In building"", ""Shampoo"", ""Bed linens"", ""Room-darkening shades"", ""Smoke alarm"", ""Keypad"", ""Clothing storage"", ""Iron"", ""Hot water"", ""Hangers"", ""Kitchen"", ""Self check-in"", ""TV"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Pets allowed"", ""Cooking basics"", ""Paid washer \u2013 In building"", ""Private entrance"", ""Carbon monoxide alarm"", ""Essentials""]",$100.00,30,365,30,30,365,365,30,365,,t,30,60,90,365,1733270400000,8,2,0,1614038400000,1716854400000,5,4.88,4.75,4.88,5,5,4.88,,t,18,18,0,0,0.17,50.00
18738360,https://www.airbnb.com/rooms/18738360,20241204171216,1733270400000,city scrape,Stylish Living Overlooking Golden Gate Park,"Welcome to the beautiful San Francisco!<br />If you want to travel in style in our stylish city you don’t need to look any further.<br />We offer a fully renovated two-bedrooms, one-bathroom apartment with a full kitchen, jet bathtub and windows looking onto Golden Gate Park. <br />We are located just a half block from a bus stop and 2 blocks from a major Muni line, the ""N"". You will be staying in one of the most secure and quiet areas of the city.",We are located in the Sunset district of San Francisco.,https://a0.muscache.com/pictures/miso/Hosting-18738360/original/c5e5190a-143a-4c63-b1c9-713dcd0ee02d.jpeg,114601830,https://www.airbnb.com/users/show/114601830,Vasily,1486080000000,"San Francisco, CA",,within a few hours,100%,75%,f,https://a0.muscache.com/im/pictures/user/6a6823c5-f8c5-4004-8fee-49d050d6c428.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a6823c5-f8c5-4004-8fee-49d050d6c428.jpg?aki_policy=profile_x_medium,Outer Sunset,3,4,"['email', 'phone']",t,t,Neighborhood highlights,Golden Gate Park,,37.76545,-122.49362,Entire rental unit,Entire home/apt,5,1,1 bath,2,3,"[""Wifi"", ""Heating"", ""Shampoo"", ""Bed linens"", ""Smoke alarm"", ""Dishwasher"", ""First aid kit"", ""Dryer"", ""Keypad"", ""Iron"", ""Oven"", ""Hot water"", ""Microwave"", ""Hangers"", ""Changing table"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Shower gel"", ""Dishes and silverware"", ""Free street parking"", ""Hair dryer"", ""Fire extinguisher"", ""Long term stays allowed"", ""Washer"", ""Refrigerator"", ""Cooking basics"", ""Baking sheet"", ""Children\u2019s dinnerware"", ""Stove"", ""TV with standard cable"", ""Coffee maker"", ""High chair"", ""Private entrance"", ""Backyard"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""Essentials""]",$100.00,30,100,30,30,100,100,30,100,,t,18,18,26,109,1733270400000,31,0,0,1498348800000,1697068800000,4.94,4.97,4.94,4.97,4.97,4.73,4.9,,f,2,2,0,0,0.34,50.00
27523751,https://www.airbnb.com/rooms/27523751,20241204171216,1733270400000,city scrape,Bright 2 Bedroom Home Walk To Beach,"Beautiful bright home, recently updated with brand new furniture located in the Outer Sunset District of San Francisco, two blocks from the beach. Close to Java Beach Cafe, SF Zoo, SF State.  1 block to Muni L line that gets you downtown.  Enjoy walks along the beach at sunset.",,https://a0.muscache.com/pictures/81878ce5-8680-4cac-befb-7c08fd5ea7bc.jpg,3855220,https://www.airbnb.com/users/show/3855220,Gerard & Alicia,1350086400000,"San Francisco, CA",,within a few hours,100%,100%,t,https://a0.muscache.com/im/pictures/user/b05436ed-c6de-4f51-b656-e208a9293283.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b05436ed-c6de-4f51-b656-e208a9293283.jpg?aki_policy=profile_x_medium,Outer Sunset,2,2,"['email', 'phone']",t,t,,Parkside,,37.73639,-122.50403,Entire home,Entire home/apt,4,1,1 bath,2,2,"[""Wifi"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""Dryer"", ""Keypad"", ""Iron"", ""Bathtub"", ""Oven"", ""Hot water"", ""Microwave"", ""Hangers"", ""Kitchen"", ""Self check-in"", ""TV"", ""Dishes and silverware"", ""Free street parking"", ""Hair dryer"", ""Dedicated workspace"", ""Fire extinguisher"", ""Long term stays allowed"", ""Washer"", ""Refrigerator"", ""Cooking basics"", ""Free parking on premises"", ""Stove"", ""Coffee maker"", ""Private entrance"", ""Carbon monoxide alarm"", ""Essentials""]",$100.00,30,180,30,30,1125,1125,30,1125,,t,29,59,71,101,1733270400000,21,4,0,1554768000000,1727308800000,4.95,4.95,4.86,4.9,4.95,5,4.9,,f,2,2,0,0,0.3,50.00
618044012093300600,https://www.airbnb.com/rooms/618044012093300557,20241204171216,1733270400000,city scrape,Stylish 2br house in Excelsior district,"Located in the outer mission district near McLaren Park. We're 10 minutes away from the Mission district, 20 minutes from downtown. BART (subway) is 10 minutes away.<br /><br />- Perfect with Kids or 1 or 2 couples. Safe and quiet. One queen bed (2 people), One queen bed (2 people), and one mattress available for an extra person. We provide a crib for an infant.<br /><br />- Easy access to downtown (10 minutes by car) or 25 minutes by Bus+Bart(train).","Our neighborhood is residential, so it's very quiet and very safe. If you want to be close or walking distance to tourist attractions, then you should look for a place downtown.<br /><br />• Where: In the heart of the Excelsior, very close to Glen Park, Bernal Heights, Mission, Noe Valley.<br />• Restaurants: Our place is located 8min walk away from Mission St. Great Thai, Sushi, South American food, and many great little cafes.<br />• Food: Several supermarkets 10 min walk. 1 Whole Foods 5 min drive.<br />• Convenient store a few houses down.<br />• There are 6 parks at 5/10 min walking distance. 1 children's playground, tennis courts, 1 public swimming pool, and the huge McLaren Park (2nd biggest park in the city).<br />• The Mission District & Noe Valley, the most hip neighborhoods with regards to restaurants and nightlife are 15min away by bus (every 10 min)... or 5 min driving.",https://a0.muscache.com/pictures/miso/Hosting-618044012093300557/original/1bd90965-1e14-41fb-afa5-35e142fbc9c2.jpeg,44134050,https://www.airbnb.com/users/show/44134050,Olivier,1442188800000,"San Francisco, CA","I'm a filmmaker and photographer. Owner of Madnomad Films (check out our films there, including a full feature documentary about Burning Man called Dust & Illusions).

We are travelers. Whether it's in California, where we go camping 8-10 times a year, as well as kayaking, backpacking, skiing, or Vietnam, Africa, Europe, North and South America, we love to visit other places. We like to take our time, and appreciate the places we visit. I'd rather spend 2 months in France only, than visit one different European country every week.

We look forward to meeting you!",within an hour,100%,67%,f,https://a0.muscache.com/im/pictures/user/b0cee47a-e474-4338-a1a8-1876eb224a3f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b0cee47a-e474-4338-a1a8-1876eb224a3f.jpg?aki_policy=profile_x_medium,Excelsior,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Excelsior,,37.720047566714655,-122.43056138444189,Entire home,Entire home/apt,5,2,2 baths,2,3,"[""Wifi"", ""Heating"", ""Smoke alarm"", ""Dryer"", ""City skyline view"", ""Keypad"", ""Private patio or balcony"", ""Iron"", ""Outdoor dining area"", ""Kitchen"", ""Self check-in"", ""TV"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Washer"", ""Refrigerator"", ""Exterior security cameras on property"", ""Free parking on premises"", ""Coffee maker"", ""Backyard"", ""Carbon monoxide alarm""]",$100.00,30,365,30,30,365,365,30,365,,t,0,23,53,185,1733270400000,2,1,0,1690761600000,1730073600000,5,5,5,5,5,5,5,,f,2,2,0,0,0.12,50.00
733299565772070000,https://www.airbnb.com/rooms/733299565772069989,20241204171216,1733270400000,city scrape,2 bedroom Condo in the heart of San Francisco,"Two bedroom condominium with Industrial modern design in the heart of San Francisco.￼ A historic building with an award-winning artisan French bakery located on the ground floor of the building. Short walk to downtown San Francisco, BART, Muni, museums, theater district, financial district￼ , restaurants, markets and shopping.",5 minutes walk to downtown San Francisco.,https://a0.muscache.com/pictures/miso/Hosting-733299565772069989/original/d415790d-aace-4824-8d17-8362ba12a9c8.jpeg,90028108,https://www.airbnb.com/users/show/90028108,Nep,1471219200000,,,within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/15cee931-7e8d-4242-ab2d-7f4ee9f330df.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/15cee931-7e8d-4242-ab2d-7f4ee9f330df.jpg?aki_policy=profile_x_medium,Civic Center,1,1,"['email', 'phone']",t,t,Neighborhood highlights,South of Market,,37.78011,-122.41254,Entire home,Entire home/apt,2,1,1 bath,2,2,"[""Wifi"", ""Heating"", ""Paid dryer \u2013 In building"", ""Wine glasses"", ""Smoke alarm"", ""Dining table"", ""Clothing storage: dresser"", ""Hot water"", ""Mini fridge"", ""Microwave"", ""Paid parking on premises"", ""Cleaning products"", ""Kitchen"", ""TV"", ""Dishes and silverware"", ""Dedicated workspace"", ""Fire extinguisher"", ""Washer"", ""Refrigerator"", ""Exercise equipment"", ""Cooking basics"", ""Gym in building"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Essentials""]",$100.00,30,365,30,30,365,365,30,365,,t,30,60,90,365,1733270400000,1,0,0,1688774400000,1688774400000,5,5,5,5,5,3,4,,f,1,1,0,0,0.06,50.00
50331188,https://www.airbnb.com/rooms/50331188,20241204171216,1733270400000,city scrape,2 Bedrooms private bath short walk to GG Park SF,"Private unit with 2 bedrooms and a full private bathroom 1 min. away from Golden Gate Park. This is a divided unit from an apartment with individual entrance. One of the bedroom has patio with access to the backyard. Queen size beds for both bedrooms and good for 4 people. There is a Safeway supermarket cross street opens 24 hours. Many Bus lines around, easy access to downtown, Golden Gate Park & Fisherman Wharf. Free street parking are available.","Richmond residential District, a block away from Golden Gate Park. Close to De Young Museum, Ferris Wheel, and Conservatory of Flowers.",https://a0.muscache.com/pictures/fb4a3eba-003f-40dc-85ea-79a20b85c470.jpg,404949384,https://www.airbnb.com/users/show/404949384,Yee Hung,1622592000000,,,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/a3545875-99e2-472d-aad9-274ef7e11af6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a3545875-99e2-472d-aad9-274ef7e11af6.jpg?aki_policy=profile_x_medium,Inner Richmond,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Inner Richmond,,37.77417,-122.4658,Private room in home,Private room,4,1,1 private bath,2,2,"[""Wifi"", ""Heating"", ""Shampoo"", ""Bed linens"", ""Smoke alarm"", ""Patio or balcony"", ""First aid kit"", ""Clothing storage"", ""Iron"", ""Bathtub"", ""Hot water"", ""Laundromat nearby"", ""Mini fridge"", ""Microwave"", ""Hangers"", ""Self check-in"", ""Conditioner"", ""TV"", ""Shower gel"", ""Free street parking"", ""Hair dryer"", ""Dedicated workspace"", ""Fire extinguisher"", ""Coffee maker"", ""Lockbox"", ""Hot water kettle"", ""Backyard"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Essentials""]",$102.00,1,28,1,1,28,28,1,28,,t,16,32,62,62,1733270400000,195,60,2,1624060800000,1731888000000,4.7,4.8,4.82,4.83,4.69,4.9,4.65,2024-002743STR,f,1,0,1,0,4.62,51.00
644801578513713500,https://www.airbnb.com/rooms/644801578513713497,20241204171216,1733270400000,city scrape,334-4 Bright & Cozy 2B1B near GG Bridge/Park,"This is a nice 2-bedroom 1-bath apartment conveniently located in the Outer Richmond neighborhood in San Francisco. Within 5 minutes walk to most of the restaurants, cafes, and grocery stores on Clement St. Mins to Golden Gate Bridge, Presidio, Lands End, China Beach and Cliff House. Hop on the bus 38/38R tto Kasier/CPMC/downtown.<br /><br />We live at the downstairs in another unit.",,https://a0.muscache.com/pictures/miso/Hosting-644801578513713497/original/209c6ab1-3b4f-46a4-bce5-8d7ff5d68849.png,420991308,https://www.airbnb.com/users/show/420991308,Annie,1630368000000,,,N/A,N/A,86%,,https://a0.muscache.com/im/pictures/user/56025359-be98-404b-b8b8-db82664e8755.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/56025359-be98-404b-b8b8-db82664e8755.jpg?aki_policy=profile_x_medium,Outer Richmond,8,9,"['email', 'phone']",t,t,,Outer Richmond,,37.78202,-122.48657,Entire rental unit,Entire home/apt,3,1,1 bath,2,2,"[""Wifi"", ""Paid dryer \u2013 In building"", ""Shampoo"", ""Bed linens"", ""Smoke alarm"", ""Dining table"", ""Central heating"", ""Bathtub"", ""Oven"", ""Hot water"", ""Microwave"", ""Hangers"", ""Extra pillows and blankets"", ""Kitchen"", ""Clothing storage: closet"", ""Self check-in"", ""Body soap"", ""TV"", ""Shower gel"", ""Dishes and silverware"", ""Free street parking"", ""Hair dryer"", ""Dedicated workspace"", ""Fire extinguisher"", ""Long term stays allowed"", ""Refrigerator"", ""Exterior security cameras on property"", ""Baking sheet"", ""Paid washer \u2013 In building"", ""Stove"", ""Coffee maker"", ""Lockbox"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Essentials""]",$103.00,30,120,30,30,1125,1125,30,1125,,t,25,26,26,289,1733270400000,6,4,1,1679788800000,1731715200000,4.83,5,5,5,4.83,4.67,4.67,,t,2,2,0,0,0.29,51.50
20696391,https://www.airbnb.com/rooms/20696391,20241204171216,1733270400000,city scrape,Cozy Noe Valley apartment,"Cozy one bedroom apartment in Noe Valley. Fully stocked kitchen, desk area, and living room. Good for couples, solo adventurers, business travelers, small groups of friends, and furry friends (pets).<br /><br />Please note that a maximum of one pet is allowed, with a fee of $100 to account for the deep clean needed after a furry friend's stay. (The pet fee must be paid through Airbnb's request Money feature after your reservation is made).",Incredible views of the city. Close to the Mission District & the Castro.,https://a0.muscache.com/pictures/c6876730-9012-40c9-8176-dfde8d0d5cd4.jpg,6392096,https://www.airbnb.com/users/show/6392096,Nicøle,1368489600000,"San Francisco, CA","Proudly born & raised in beautiful San Francisco, but ready to travel the world in search of new treasures! ",within a day,100%,83%,t,https://a0.muscache.com/im/users/6392096/profile_pic/1368565051/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6392096/profile_pic/1368565051/original.jpg?aki_policy=profile_x_medium,Noe Valley,2,4,"['email', 'phone']",t,t,Neighborhood highlights,Noe Valley,,37.74436,-122.4323,Entire rental unit,Entire home/apt,4,1,1 bath,2,2,"[""Heating"", ""Shampoo"", ""Smoke alarm"", ""Dishwasher"", ""First aid kit"", ""Dryer"", ""Keypad"", ""Oven"", ""Hot water"", ""Microwave"", ""Hangers"", ""Kitchen"", ""Self check-in"", ""TV"", ""Dishes and silverware"", ""Free street parking"", ""Fire extinguisher"", ""Pets allowed"", ""Long term stays allowed"", ""Fast wifi \u2013 62 Mbps"", ""Washer"", ""Refrigerator"", ""Cooking basics"", ""Stove"", ""Coffee maker"", ""Private entrance"", ""Backyard"", ""Carbon monoxide alarm"", ""Essentials""]",$104.00,30,1125,30,30,1125,1125,30,1125,,t,0,29,59,149,1733270400000,28,4,1,1511136000000,1731715200000,4.89,4.89,4.75,5,4.89,4.79,4.75,,f,1,1,0,0,0.33,52.00
